review_id,sample_id,method,A,B
0,6022,S4_calibrated_patch_synthesis,candidate,real
1,6028,S4_calibrated_patch_synthesis,real,candidate
2,6029,S4_calibrated_patch_synthesis,candidate,real
3,6033,S4_calibrated_patch_synthesis,candidate,real
4,6047,S4_calibrated_patch_synthesis,real,candidate
5,6048,S4_calibrated_patch_synthesis,candidate,real
6,6056,S4_calibrated_patch_synthesis,real,candidate
7,6057,S4_calibrated_patch_synthesis,real,candidate
8,6062,S4_calibrated_patch_synthesis,candidate,real
9,6063,S4_calibrated_patch_synthesis,real,candidate
10,6070,S4_calibrated_patch_synthesis,real,candidate
11,6072,S4_calibrated_patch_synthesis,candidate,real
