anonymous_review_id,sample_adhesion_rating,visible_spot_quality,rating_confidence,severe_artifact,reviewer_notes
RPSA_AE_ggajacin,2,low,low,yes,"Mostly discrete spots are visible, but strong overexposure and diffuse background make the global adhesion judgment uncertain."
RPSA_AG_baoiigch,4,medium,medium,yes,"Several rows show persistent horizontal intensity between neighboring features. Some endpoints are weak and background correction is unstable, so this is rated mostly connected rather than strongly connected."
RPSA_AH_nkdpolif,4,high,high,no,"Most visible rows contain strong horizontal bridges while spot peaks remain identifiable. One low-signal selected pair is unusable, but the global pattern is mostly connected."
RPSA_AI_oemcpgpf,2,low,low,yes,"The image is heavily washed out. The visible peaks appear mostly separate, but the background level is too high for a confident global adhesion rating."
RPSA_AJ_kkcocpbj,3,medium,medium,yes,"The full QC image and pair crops show a mixed pattern: some rows retain moderate horizontal intensity, while other proposed pairs lack a distinct second endpoint. Broad halo, right-edge crop, and unstable automated row/lattice assignment prevent a confident connected or isolated rating."
RPSA_AL_cednjlle,4,medium,medium,yes,"Most visible rows show elevated horizontal intensity between central and right-side features, consistent with a mostly connected pattern. Strong diffuse illumination and incomplete automated detection reduce confidence."
RPSA_AM_ignmbald,4,medium,medium,yes,The full QC view and pair crops show persistent horizontal intensity in several rows; two reviewed pairs are strongly connected and two are partial. Overexposure and background artifacts limit precision.
RPSA_AR_jajjnhge,4,medium,medium,yes,"Several rows show visible horizontal bridging, including one strongly merged band. Some proposed pairs are invalid and the right-side halo is strong, so the image is rated mostly connected rather than strongly connected."
RPSA_AU_ghfpcpef,4,medium,medium,yes,The original image and pair crops show a mixture dominated by connected/partially connected horizontal features. Strong washout and halo reduce confidence.
RPSA_AY_kfiiknbk,4,medium,medium,yes,"Several prominent horizontal streak-like connections are visible, with one reviewed strong connection and one partial bridge. Saturation/background effects prevent a rating of strongly connected."
